snum,Genre,Title,Artist,duration_ms,explicit,popularity,total_tracks,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
169,latin,Hola - Remix,Dalex,249520,FALSE,77,1,0.654,0.672,0,-5.98,0,0.311,0.471,0,0.0781,0.343,181.857,4
170,edm,Written In The Stars,Tungevaag,190312,FALSE,63,1,0.634,0.678,3,-5.298,0,0.0367,0.15,4.63E-05,0.629,0.465,127.963,4
171,rock,One Thing Leads To Another,The Fixx,199826,FALSE,60,14,0.789,0.945,5,-5.219,0,0.0482,0.198,3.11E-06,0.0617,0.965,136.745,4
172,pop,Losing Me,Gabrielle Aplin,181786,FALSE,20,18,0.656,0.405,7,-8.34,1,0.0507,0.175,0,0.0958,0.243,133.885,4
173,rap,Do You Understand? (feat. Gunna & Tory Lanez),Shy Glizzy,279185,TRUE,46,19,0.862,0.526,4,-5.168,0,0.126,0.0496,0,0.0983,0.198,129.987,4
174,edm,Stand By You,DubVision,165833,FALSE,53,2,0.609,0.834,10,-5.588,0,0.0722,0.00924,0.000243,0.307,0.351,126.077,3
175,hiphop,Chum,Earl Sweatshirt,243773,TRUE,63,15,0.51,0.503,10,-8.756,0,0.242,0.0216,0.002,0.108,0.193,153.582,4
176,rock,Wish You Were Here,Neck Deep,248253,FALSE,67,11,0.53,0.496,10,-6.318,1,0.0264,0.428,0,0.0898,0.535,159.957,3
177,r&b,Far Away,Marsha Ambrosius,436880,FALSE,47,13,0.433,0.668,9,-6.544,1,0.211,0.221,0,0.126,0.351,70.478,4
178,r&b,Butta Love,Next,296400,TRUE,56,18,0.735,0.441,1,-8.412,0,0.0407,0.0972,0,0.0967,0.591,108.015,4
179,edm,Easy - Radio Edit,Mat Zo,213480,FALSE,42,5,0.505,0.893,2,-4.673,1,0.0425,0.00547,0,0.133,0.287,127.989,4
180,pop,Hopeless Romantic,Sam Fischer,181178,FALSE,70,1,0.654,0.636,8,-6.913,1,0.0391,0.117,0.00179,0.0919,0.392,113.994,4
181,r&b,My City ft. Masego,ELHAE,190375,FALSE,49,11,0.763,0.538,11,-7.487,0,0.11,0.0763,0,0.154,0.53,133.032,4
182,hiphop,RIP Young,Isaiah Rashad,158050,TRUE,69,16,0.971,0.677,2,-6.895,1,0.092,0.0476,2.22E-05,0.112,0.58,120.027,4
183,pop,Someone You Loved,Lewis Capaldi,182160,FALSE,87,12,0.501,0.405,1,-5.679,1,0.0319,0.751,0,0.105,0.446,109.891,4
184,r&b,No Diggity,Blackstreet,304600,FALSE,76,19,0.867,0.646,1,-4.674,0,0.288,0.303,0,0.279,0.67,88.634,4
185,rap,Myself,NAV,226040,TRUE,72,11,0.749,0.398,5,-7.44,0,0.171,0.648,1.26E-06,0.115,0.0859,80.032,4
186,edm,Fire Blazing,Dropgun,140571,FALSE,53,1,0.557,0.876,2,-3.014,0,0.0368,0.00928,0.00416,0.298,0.368,140.012,4
187,rock,Friends,Band Of Skulls,189826,FALSE,30,15,0.669,0.614,11,-5.012,1,0.0346,0.0285,0,0.219,0.336,116.045,4
188,r&b,Change (with Kehlani),Arin Ray,192546,TRUE,59,5,0.713,0.475,6,-4.436,0,0.0659,0.0608,7.55E-06,0.156,0.33,87.022,4
189,rap,Work,Gang Starr,177666,TRUE,64,20,0.787,0.832,10,-4.671,1,0.301,0.0347,0,0.0593,0.814,92.606,4
190,rock,Typhoons,Royal Blood,236933,FALSE,60,11,0.601,0.723,8,-4.364,0,0.0384,0.000347,0.0011,0.346,0.581,114.991,4
191,latin,Me Puedo Matar - Remastered,Bachata Heightz,263693,FALSE,52,11,0.857,0.815,9,-4.598,0,0.0545,0.191,3.12E-06,0.118,0.938,130.012,4
192,edm,Love & War (feat. Yade Lauren),Yellow Claw,180150,FALSE,33,13,0.577,0.911,1,-4.449,1,0.0512,0.0186,0.0587,0.159,0.543,160.036,4
193,pop,Backyard Boy,Claire Rosinkranz,129240,FALSE,74,2,0.817,0.635,5,-7.246,1,0.163,0.323,0,0.0738,0.454,138.015,4
194,rock,Love Hurts,Nazareth,233133,FALSE,60,8,0.485,0.328,7,-11.853,1,0.0254,0.00596,0.0032,0.325,0.138,79.766,4
195,hiphop,Wreck (feat. Big Sean),2 Chainz,123200,TRUE,67,17,0.889,0.594,10,-6.593,0,0.104,0.563,0,0.175,0.758,119.984,4
196,rap,Splash (feat. Moneybagg Yo),Tyga,173161,TRUE,70,1,0.794,0.613,1,-6.336,0,0.145,0.0363,0,0.742,0.412,135.984,4
197,pop,Black Sheep,Kailee Morgue,183920,FALSE,57,1,0.666,0.493,4,-7.21,0,0.0313,0.0338,0.0255,0.114,0.474,123.924,4
198,pop,At My Worst (feat. Kehlani),Pink Sweat$,169127,FALSE,68,18,0.731,0.484,0,-5.579,1,0.0354,0.73,3.01E-06,0.326,0.35,92.043,4
199,pop,Dancing On My Own,Robyn,285853,FALSE,64,15,0.674,0.857,6,-5.328,1,0.0346,0.0557,0.196,0.0942,0.278,117.028,4
200,latin,Air Drop,Bryant Myers,205565,TRUE,70,1,0.701,0.675,5,-5.06,0,0.055,0.424,0,0.136,0.274,114.932,4
201,hiphop,It's Funky Enough - Remastered Single,The D.O.C.,269973,FALSE,51,13,0.83,0.797,7,-6.627,1,0.152,0.00257,0,0.272,0.886,90.229,4
202,r&b,I Need a Dollar,Aloe Blacc,243533,FALSE,45,13,0.842,0.484,1,-7.111,0,0.0341,0.181,0,0.0868,0.951,95.51,4
203,pop,Team,Lorde,193058,FALSE,26,13,0.69,0.578,6,-7.436,1,0.0929,0.167,0,0.305,0.416,99.961,4
204,rock,Plush - Acoustic,Stone Temple Pilots,230293,FALSE,66,15,0.643,0.364,5,-11.018,0,0.04,0.715,0,0.659,0.283,133.377,4
205,latin,Adónde Se Fue ?,Xtreme,185333,FALSE,47,17,0.75,0.706,9,-4.993,0,0.0274,0.265,0,0.0643,0.878,124.99,4
206,rap,Poppin' My Collar (feat. Project Pat),Three 6 Mafia,176880,TRUE,58,22,0.729,0.795,7,-4.579,1,0.144,0.354,0,0.536,0.856,146.747,4
207,pop,Us,James Bay,181360,FALSE,76,14,0.559,0.473,0,-4.147,1,0.0364,0.177,1.50E-06,0.108,0.341,69.973,4
208,rap,Grown Up,Danny Brown,139930,TRUE,63,3,0.635,0.766,11,-6.459,1,0.26,0.132,0,0.122,0.685,93.603,4
209,rap,The Humpty Dance,Digital Underground,391693,FALSE,63,14,0.813,0.693,10,-8,0,0.266,0.0341,0,0.121,0.618,103.508,4
210,pop,Don't Cha,The Pussycat Dolls,272080,FALSE,72,14,0.875,0.631,1,-3.475,1,0.099,0.00542,2.54E-06,0.127,0.549,120.003,4
211,r&b,If You Love Me,Brownstone,304160,FALSE,61,12,0.687,0.583,7,-10.224,1,0.0639,0.225,0,0.105,0.211,95.138,4
212,r&b,Wishful Thinking,Vivian Green,244840,FALSE,40,14,0.672,0.544,1,-6.583,1,0.0505,0.267,0,0.366,0.443,91.005,4
213,latin,Me Hipnotizas,Anahí,233104,FALSE,50,11,0.857,0.846,2,-4.334,1,0.0452,0.131,1.53E-06,0.081,0.901,137.033,4
214,rock,Sticks 'N' Stones,Jamie T,240832,TRUE,61,11,0.545,0.851,6,-3.569,1,0.0935,0.0572,0,0.403,0.787,179.947,4
215,edm,Not Afraid,Marc Benjamin,186200,FALSE,37,1,0.62,0.708,11,-4.994,0,0.0271,0.129,0,0.169,0.365,126.036,4
216,edm,Wildest Dream,Thomas Gold,187510,FALSE,54,2,0.545,0.839,1,-4.24,1,0.0468,0.0223,0,0.0714,0.276,127.987,4
217,edm,Nasty,Datsik,217600,FALSE,50,7,0.461,0.964,1,-3.275,1,0.223,0.00025,0.3,0.247,0.0558,112.586,3
218,pop,Champagne & Sunshine,PLVTINUM,196363,TRUE,77,1,0.607,0.522,5,-10.028,0,0.0704,0.0553,0,0.0909,0.265,109.961,4
219,rap,Make Me Better,Fabolous,253573,TRUE,62,16,0.607,0.599,11,-6.886,1,0.0995,0.33,0,0.199,0.562,86.491,4
220,rap,Pretty Little Fears (feat. J. Cole),6LACK,240341,TRUE,75,14,0.61,0.458,9,-11.336,1,0.36,0.696,0.000103,0.0852,0.246,192.099,4
221,pop,Just Give Me a Reason (feat. Nate Ruess),P!nk,242733,FALSE,81,17,0.778,0.547,2,-7.273,1,0.0489,0.346,0.000302,0.132,0.441,95.002,4
222,pop,Talia,King Princess,207720,FALSE,64,1,0.401,0.507,2,-7.001,1,0.089,0.549,0,0.164,0.236,180.159,4
223,rock,Rock Lobster,The B-52's,412032,FALSE,50,9,0.603,0.814,8,-11.51,1,0.048,0.0462,0.0265,0.0509,0.486,92.24,4
224,latin,Con los Años Que Me Quedan,Gloria Estefan,276600,FALSE,63,12,0.552,0.303,2,-10.579,1,0.0429,0.772,0,0.119,0.336,85.921,4
225,rap,Don't,Bryson Tiller,198293,TRUE,79,14,0.765,0.356,11,-5.556,0,0.195,0.223,0,0.0963,0.189,96.991,4
226,pop,universe,thuy,186627,FALSE,51,9,0.636,0.452,11,-8.298,1,0.0329,0.136,1.97E-06,0.104,0.0678,80.004,4
227,hiphop,"You Can't Hide, You Can't Run",Dilated Peoples,259573,TRUE,53,13,0.844,0.886,11,-1.681,0,0.306,0.199,0,0.471,0.546,86.868,4
228,pop,Light It Up (feat. Nyla & Fuse ODG) - Remix,Major Lazer,166138,FALSE,3,14,0.746,0.877,9,-3.782,0,0.0666,0.0375,0.000833,0.233,0.751,107.985,4
229,rock,Madhouse,Anthrax,259760,FALSE,61,9,0.329,0.885,9,-10.661,1,0.0904,0.0242,0.00433,0.735,0.481,163.538,4
230,hiphop,Time's Up,O.C.,206981,TRUE,39,14,0.58,0.523,2,-9.779,1,0.0925,0.173,0.0647,0.334,0.488,89.964,4
231,rap,Crew (feat. Brent Faiyaz & Shy Glizzy),GoldLink,176702,TRUE,74,14,0.728,0.607,1,-8.417,0,0.132,0.133,0,0.0864,0.445,129.938,4
232,hiphop,Bounce,Flatbush Zombies,241520,TRUE,58,12,0.628,0.618,5,-8.4,0,0.313,0.0113,0,0.109,0.362,110.007,4
233,rock,Stone the Crow,DOWN,282506,FALSE,56,13,0.444,0.911,11,-6.117,0,0.0398,0.0139,0.00955,0.0868,0.556,106.437,4
234,rock,Alone Again Or - 2015 Remaster,Love,197274,FALSE,60,11,0.318,0.303,11,-15.572,0,0.0302,0.664,0.000223,0.113,0.226,174.254,4
235,hiphop,The Jackie (with J. Cole & Lil Tjay),Bas,204434,TRUE,75,1,0.784,0.474,8,-6.139,1,0.0524,0.333,0,0.278,0.64,128.012,4
236,hiphop,Blame It,Jamie Foxx,289746,TRUE,65,15,0.673,0.614,7,-5.426,1,0.103,0.0782,0,0.139,0.362,176.052,4
237,latin,Nos Fuimos Lejos (feat. El Micha),Descemer Bueno,209359,FALSE,51,1,0.755,0.88,7,-3.003,1,0.0605,0.162,1.32E-05,0.132,0.812,94.022,4
238,hiphop,Freedom Form Flowing,Gift Of Gab,272860,TRUE,48,1,0.751,0.86,2,-3.57,1,0.287,0.454,4.10E-05,0.0849,0.655,162.06,4
239,rock,No Love In LA,Palaye Royale,202656,FALSE,63,2,0.481,0.897,11,-4.181,0,0.0638,0.00562,0,0.359,0.425,103.107,4
240,r&b,Yeah! (feat. Lil Jon & Ludacris),Usher,250373,FALSE,82,21,0.894,0.791,2,-4.699,1,0.112,0.0183,0,0.0388,0.583,105.018,4
241,r&b,Candy Rain - Heavy D & TrakMasterz Mix,Soul For Real,261626,FALSE,55,3,0.787,0.585,9,-7.529,1,0.0492,0.0118,3.02E-05,0.117,0.751,93.881,4
242,rock,Second Chance,38 Special,304693,FALSE,58,11,0.664,0.426,10,-12.852,1,0.0282,0.166,0,0.0652,0.518,118.785,4
243,r&b,Touchy Feely,Ro James,167380,TRUE,47,15,0.915,0.472,0,-6.351,1,0.0512,0.22,5.74E-05,0.104,0.411,126.976,4
244,rock,Victorious,Wolfmother,264986,FALSE,54,10,0.396,0.933,9,-3.757,1,0.0669,8.03E-05,3.17E-06,0.177,0.329,160.061,4
245,rock,Hurdy Gurdy Man,Donovan,193466,FALSE,60,13,0.405,0.463,0,-16.167,1,0.0542,0.00379,0.0442,0.392,0.542,79.451,4
246,r&b,Try Again,Aaliyah,284000,FALSE,54,14,0.797,0.622,6,-5.642,0,0.29,0.0807,0,0.0841,0.731,93.02,4
247,latin,Obsesion,Aventura,254537,FALSE,24,10,0.793,0.525,1,-7.338,0,0.0444,0.462,0,0.0601,0.784,133.703,4
248,edm,Calm The Storm,Super8 & Tab,225622,FALSE,38,7,0.588,0.735,3,-4.777,1,0.0418,0.0202,0.000179,0.208,0.216,129.983,4
249,pop,I Want You Around,Snoh Aalegra,212787,TRUE,69,14,0.705,0.433,4,-9.706,1,0.204,0.388,0.134,0.0841,0.602,168.006,4
250,latin,No Puedo Olvidarme Ti,MDO,210520,FALSE,57,10,0.712,0.797,9,-6.496,1,0.0373,0.204,1.75E-06,0.111,0.612,129.131,4
251,rock,Sleeping (In The Fire),W.A.S.P.,235893,TRUE,54,13,0.253,0.646,8,-9.326,1,0.0306,9.77E-05,0,0.0856,0.178,91.926,4
252,pop,all the kids are depressed,Jeremy Zucker,169973,TRUE,78,4,0.773,0.437,9,-8.281,1,0.0963,0.836,2.42E-05,0.544,0.707,103.861,4
253,pop,Lie Lie Lie,Joshua Bassett,176691,FALSE,64,1,0.617,0.835,7,-3.573,1,0.0923,0.00503,0,0.0793,0.835,101.005,4
254,hiphop,Smile,Scarface,300600,TRUE,63,18,0.7,0.402,5,-9.93,0,0.278,0.0498,1.04E-06,0.16,0.499,77.871,4
255,rock,Steppin' Out,Joe Jackson,262866,FALSE,56,9,0.584,0.474,11,-9.431,1,0.0296,0.0366,0.000363,0.0518,0.651,160.173,4
